,Province,Total Emission,Number of Fire,Area Burned (hectre)
0,AB,13308215.431345392,38015.0,5923754.080000004
1,BC,2600960.148195841,56698.0,5123187.9860000005
2,MB,3077027.493711514,10953.0,6672827.799999994
3,NB,621120.6648935655,9985.0,29089.400000000005
4,NL,487498.1766003918,2937.0,414891.66618
5,NS,645516.8551247807,8841.0,21594.801600305622
6,ON,5625879.9898003545,35041.0,4865411.700084934
7,PE,123533.51021445422,11.0,21.6012797019822
8,QC,3890464.0154027697,21222.0,8173950.999999997
9,SK,14223731.344266819,16964.0,14885774.27765337
