Province,Pollutant,Total Emission
AB,CO,41946958.66568156
AB,NH3,3989200.259315091
AB,NOX,21214605.858536135
AB,SOX,12840699.813067049
AB,VOC,17996496.6811455
BC,CO,41845697.0266292
BC,NH3,690283.4385865291
BC,NOX,8206903.518110224
BC,SOX,2320020.1727009164
BC,VOC,7951780.660204959
MB,CO,8267194.828446357
MB,NH3,1637953.542176185
MB,NOX,1851065.8026959684
MB,SOX,8860711.928643145
MB,VOC,2426976.9664337435
NB,CO,7025921.834692263
NB,NH3,142194.5453205687
NB,NOX,1816307.2829796663
NB,SOX,2308227.359354756
NB,VOC,1745402.8983258926
NL,CO,3774899.9485389367
NL,NH3,30799.458027829744
NL,NOX,1528915.833122027
NL,SOX,1450961.3608996803
NL,VOC,1094257.2986501504
NS,CO,6304546.796160095
NS,NH3,132349.89472921714
NS,NOX,2165476.015746865
NS,SOX,4269691.852034008
NS,VOC,1546767.6802555404
ON,CO,69624334.06878209
ON,NH3,3074232.000441828
ON,NOX,15186883.224171003
ON,SOX,14406440.618109368
ON,VOC,18200321.603748266
PE,CO,1127183.306129856
PE,NH3,97482.89444553398
PE,NOX,189130.03308927472
PE,SOX,61059.4679257465
PE,VOC,243752.36295434754
QC,CO,52564611.508487105
QC,NH3,2018582.4480009836
QC,NOX,8155654.321929074
QC,SOX,6366197.906912319
QC,VOC,11123000.592246976
SK,CO,13292868.16812015
SK,NH3,2465965.9099005316
SK,NOX,5120907.390641408
SK,SOX,4027020.7752506062
SK,VOC,7463920.748175912
