Province,Pollutant,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AB,NH3,95261.6403072018,96392.6120160835,100809.748597631,102888.757346287,108909.29619548,117873.246725767,123629.070648118,126274.333185743,131692.349068894,134691.36684567164,139957.7765580304,139163.63039002882,139037.73831332734,131606.19967270968,137301.1888117309,140536.8231305167,138078.04250873503,140063.53230788346,138610.94087225283,132991.51611707473,130683.29517893115,132641.48219304642,137630.5644576695,139707.6493382899,141095.12881051924,139937.588499843,132619.48058146506,124020.85788901642,130492.08344071463,131440.5311861856,133161.78812024335
AB,CO,1810389.43111,1674240.47593966,1694347.04215079,1670384.18553975,1713860.13181427,1699241.95442997,1707362.43286568,1747506.53522988,1756031.13945933,1734278.0555208807,1677587.6715244297,1576101.4273097124,1474691.5433326764,1655205.536513646,1383843.872199306,1278700.4085667166,1192713.6845471866,1154640.5447359313,1145371.1686651632,1132508.4215766143,1075646.3948661848,1015160.0103461307,1020173.0616697504,1044806.4504109875,1083451.1163415606,985516.9393906805,950437.9647403281,1009269.6788974762,1001193.5531940853,992062.7619323295,890235.0708604576
AB,SOX,512405.17695316,524144.18481018,564717.776802336,571473.902885045,594900.160427548,569212.579973766,556679.129617835,522989.264001654,493223.801071405,497998.28697757056,490794.88770130294,486094.7241083352,467389.4774019199,467641.80155505164,460344.60437018535,460387.8603268887,428250.56688984286,406947.06383834995,382065.4206025985,371621.66225775576,358307.9380092149,343134.3155222252,333877.81221442844,314187.69199869514,291592.47385681805,259725.37296679677,239568.79130380912,241439.9996413067,225758.93672193997,221287.8184768282,182536.32978225523
AB,NOX,613284.286308138,585705.325771787,609463.591567837,640884.40812074,692547.095770932,718124.92776215,749396.467537041,815873.317241737,829050.87866074,845753.2473105935,801836.5083859899,769751.1708425825,739044.5836218625,768416.7428231763,673894.1361266741,659924.4411432793,652543.7569066547,674084.7392267365,680535.9776006247,670909.267392054,701315.0799933256,691938.4815302572,649050.7227761747,643710.2914325446,656735.6508195029,630979.6246838769,603268.9203695664,627271.8514718515,625976.446078691,625636.7223761571,567697.196882858
AB,VOC,643752.225882095,624633.776990753,642477.562274331,654384.418252455,669557.452773095,679792.446419822,708522.408799455,678362.261827271,679922.507283029,633822.9896239716,630612.1689597053,601978.6682344684,584834.3157174744,607456.3709643948,586015.7912882771,589724.6197307677,592127.6114556657,576275.3541153171,565034.7073398363,511333.7147765916,490236.5949499055,478680.32202698546,518824.5195309372,556411.0771793935,572615.3277760863,517421.8223597623,476740.12370002636,474301.4225637558,501074.8373153089,492636.6127706006,456932.64826396375
BC,NH3,22995.98762586,22310.886792502,22883.1150417984,23423.8931662309,23446.1514055948,24276.1421233274,24313.75441344,24261.030715911,23186.0593398967,23634.7049711393,24071.02620397197,24469.07246323144,23106.8223825014,23889.17417075541,24867.369304146465,25157.41696192914,21528.07901220215,21929.854557585822,21971.572121546706,21077.937491661814,20603.155149311722,19673.4470240708,19597.051431377542,19957.012943875867,19406.653921754787,19454.271981683003,19898.551541310226,20144.785616232846,20962.112257326105,21088.673201511338,22697.673252842054
BC,CO,2340343.89807514,2353114.49948287,2155699.79068061,2363510.21170183,2295989.70353345,2238613.93624961,2110270.19513658,2027978.9638128,1994938.70882756,1795371.3389170577,1716903.250311155,1606424.9871279441,1516065.8700079492,1453360.9633557766,1404280.1154602463,1184191.9814880388,1019781.5078473636,966698.8442143053,870442.3933821984,850142.7759272272,794834.0327907501,736230.3884552313,737041.7592425122,661969.6176623267,660414.8387121931,630995.6122458712,660545.0260044149,681319.8756605458,693402.9002921798,679666.7428935495,645152.2971299121
BC,SOX,110747.399637798,90689.8452481818,79350.3244725266,77422.0600451359,88186.6621085845,82358.9697832929,78644.3073207129,82107.3215675099,81153.9661185652,81576.91949748852,80071.81692122918,79950.09033425781,67490.22609686853,65659.59900223221,71837.34705743834,65170.85023986548,65583.44409919913,63996.48966519895,66145.00399562388,65765.48338695148,65317.098576914956,71221.31596841455,73210.97682913509,75419.82356246334,75847.2205857285,62540.79620334712,68443.73119245718,71916.754088719,73356.01798952006,68922.92225545063,69915.38885010494
BC,NOX,285967.668928385,270828.072928627,262126.87054053,271899.114584623,294263.944805499,296947.832724704,306607.279221647,316168.481311414,316603.947766562,322736.9246856979,317658.47361329314,301845.25182200875,311921.3234300143,294701.7355356199,309875.8561902384,285108.11994064116,264441.2001467402,263418.6530193879,250949.09114168247,231240.08421156043,230546.09988398652,231269.51503536143,225107.53352463656,228222.3006968001,222718.86163379668,213184.6781576076,210834.77706498865,215964.18070540993,223692.23969135195,220584.65206492456,209468.75310248425
BC,VOC,374973.17600456,376762.866466494,355183.10665247,390269.150395119,376905.415140029,379776.996750471,364154.090672387,354883.302639578,347896.882993605,327745.4850990556,314185.0157942773,298500.236541528,293137.8668532275,289051.3048786525,278032.8688500735,255739.56282177803,232344.6582304473,222012.27519700566,210241.60337648774,198631.41837841875,196698.19947244882,167721.30573365907,165183.63438867455,166548.60452788635,159386.5212685707,156313.0394510723,144381.4086480633,142284.0831581869,141676.0150762879,139949.588154865,131210.9765895798
